date,candidate,volume
2026-03-24,Alexandria Ocasio-Cortez,0.0152
2026-03-25,Alexandria Ocasio-Cortez,0.0234
2026-03-26,Alexandria Ocasio-Cortez,0.0412
2026-03-27,Alexandria Ocasio-Cortez,0.0262
2026-03-28,Alexandria Ocasio-Cortez,0.009
2026-03-29,Alexandria Ocasio-Cortez,0.012
2026-03-30,Alexandria Ocasio-Cortez,0.01
2026-03-31,Alexandria Ocasio-Cortez,0.004
2026-04-01,Alexandria Ocasio-Cortez,0.0071
2026-04-02,Alexandria Ocasio-Cortez,0.0086
2026-04-03,Alexandria Ocasio-Cortez,0.0067
2026-04-04,Alexandria Ocasio-Cortez,0.008
2026-04-05,Alexandria Ocasio-Cortez,0.0104
2026-04-06,Alexandria Ocasio-Cortez,0.0065
2026-04-07,Alexandria Ocasio-Cortez,0.0242
2026-04-08,Alexandria Ocasio-Cortez,0.024
2026-04-09,Alexandria Ocasio-Cortez,0.0415
2026-04-10,Alexandria Ocasio-Cortez,0.0155
2026-04-11,Alexandria Ocasio-Cortez,0.0085
2026-04-12,Alexandria Ocasio-Cortez,0.0135
2026-04-13,Alexandria Ocasio-Cortez,0.0107
2026-04-14,Alexandria Ocasio-Cortez,0.0067
2026-04-15,Alexandria Ocasio-Cortez,0.0535
2026-04-16,Alexandria Ocasio-Cortez,0.0213
2026-04-17,Alexandria Ocasio-Cortez,0.0316
2026-04-18,Alexandria Ocasio-Cortez,0.0541
2026-04-19,Alexandria Ocasio-Cortez,0.0084
2026-04-20,Alexandria Ocasio-Cortez,0.0077
2026-04-21,Alexandria Ocasio-Cortez,0.0093
2026-04-22,Alexandria Ocasio-Cortez,0.0131
2026-04-23,Alexandria Ocasio-Cortez,0.0079
2026-04-24,Alexandria Ocasio-Cortez,0.0113
2026-04-25,Alexandria Ocasio-Cortez,0.0074
2026-04-26,Alexandria Ocasio-Cortez,0.0083
2026-04-27,Alexandria Ocasio-Cortez,0.0099
2026-04-28,Alexandria Ocasio-Cortez,0.0087
2026-04-29,Alexandria Ocasio-Cortez,0.034
2026-04-30,Alexandria Ocasio-Cortez,0.0158
2026-05-01,Alexandria Ocasio-Cortez,0.0237
2026-05-02,Alexandria Ocasio-Cortez,0.0106
2026-05-03,Alexandria Ocasio-Cortez,0.0088
2026-05-04,Alexandria Ocasio-Cortez,0.0061
2026-05-05,Alexandria Ocasio-Cortez,0.0094
2026-05-06,Alexandria Ocasio-Cortez,0.0133
2026-05-07,Alexandria Ocasio-Cortez,0.0133
2026-05-08,Alexandria Ocasio-Cortez,0.0185
2026-05-09,Alexandria Ocasio-Cortez,0.0158
2026-05-10,Alexandria Ocasio-Cortez,0.0152
2026-05-11,Alexandria Ocasio-Cortez,0.0228
2026-05-12,Alexandria Ocasio-Cortez,0.0168
2026-05-13,Alexandria Ocasio-Cortez,0.018
2026-05-14,Alexandria Ocasio-Cortez,0.0121
2026-05-15,Alexandria Ocasio-Cortez,0.0155
2026-05-16,Alexandria Ocasio-Cortez,0.0191
2026-05-17,Alexandria Ocasio-Cortez,0.0317
2026-05-18,Alexandria Ocasio-Cortez,0.02
2026-05-19,Alexandria Ocasio-Cortez,0.0419
2026-05-20,Alexandria Ocasio-Cortez,0.0639
2026-05-21,Alexandria Ocasio-Cortez,0.0152
2026-05-22,Alexandria Ocasio-Cortez,0.0184
2026-05-23,Alexandria Ocasio-Cortez,0.018
2026-05-24,Alexandria Ocasio-Cortez,0.0079
2026-05-25,Alexandria Ocasio-Cortez,0.0252
2026-05-26,Alexandria Ocasio-Cortez,0.0423
2026-05-27,Alexandria Ocasio-Cortez,0.0344
2026-05-28,Alexandria Ocasio-Cortez,0.0454
2026-05-29,Alexandria Ocasio-Cortez,0.0286
2026-05-30,Alexandria Ocasio-Cortez,0.0183
2026-05-31,Alexandria Ocasio-Cortez,0.0108
2026-06-01,Alexandria Ocasio-Cortez,0.0119
2026-06-02,Alexandria Ocasio-Cortez,0.0426
2026-06-03,Alexandria Ocasio-Cortez,0.063
2026-06-04,Alexandria Ocasio-Cortez,0.0107
2026-06-05,Alexandria Ocasio-Cortez,0.0145
2026-06-06,Alexandria Ocasio-Cortez,0.0068
2026-06-07,Alexandria Ocasio-Cortez,0.0023
2026-06-08,Alexandria Ocasio-Cortez,0.0112
2026-06-09,Alexandria Ocasio-Cortez,0.0109
2026-06-10,Alexandria Ocasio-Cortez,0.0085
2026-06-11,Alexandria Ocasio-Cortez,0.0088
2026-06-12,Alexandria Ocasio-Cortez,0.0106
2026-06-13,Alexandria Ocasio-Cortez,0.0086
2026-06-14,Alexandria Ocasio-Cortez,0.0064
2026-06-15,Alexandria Ocasio-Cortez,0.0045
2026-06-16,Alexandria Ocasio-Cortez,0.0061
2026-06-17,Alexandria Ocasio-Cortez,0.0228
2026-06-18,Alexandria Ocasio-Cortez,0.0245
2026-06-19,Alexandria Ocasio-Cortez,0.0194
2026-06-20,Alexandria Ocasio-Cortez,0.0069
2026-06-21,Alexandria Ocasio-Cortez,0.0075
2026-06-22,Alexandria Ocasio-Cortez,0.0092
2026-06-23,Alexandria Ocasio-Cortez,0.0089
2026-06-24,Alexandria Ocasio-Cortez,0.0429
2026-06-25,Alexandria Ocasio-Cortez,0.034
2026-06-26,Alexandria Ocasio-Cortez,0.0199
2026-06-27,Alexandria Ocasio-Cortez,0.0252
2026-06-28,Alexandria Ocasio-Cortez,0.0061
2026-06-29,Alexandria Ocasio-Cortez,0.0602
2026-06-30,Alexandria Ocasio-Cortez,0.0103
2026-07-05,Alexandria Ocasio-Cortez,0.0293
2026-07-06,Alexandria Ocasio-Cortez,0.0177
2026-07-07,Alexandria Ocasio-Cortez,0.0218
2026-07-08,Alexandria Ocasio-Cortez,0.0165
2026-07-09,Alexandria Ocasio-Cortez,0.0187
2026-07-10,Alexandria Ocasio-Cortez,0.032
2026-07-11,Alexandria Ocasio-Cortez,0.0156
2026-07-12,Alexandria Ocasio-Cortez,0.009
2026-07-13,Alexandria Ocasio-Cortez,0.0171
2026-07-14,Alexandria Ocasio-Cortez,0.0094
2026-07-15,Alexandria Ocasio-Cortez,0.0169
2026-07-16,Alexandria Ocasio-Cortez,0.025
2026-07-17,Alexandria Ocasio-Cortez,0.0292
2026-07-18,Alexandria Ocasio-Cortez,0.0129
2026-07-19,Alexandria Ocasio-Cortez,0.0585
2026-07-20,Alexandria Ocasio-Cortez,0.0254
2026-07-21,Alexandria Ocasio-Cortez,0.0346
2026-07-22,Alexandria Ocasio-Cortez,0.0207
2026-07-23,Alexandria Ocasio-Cortez,0.043
2026-07-24,Alexandria Ocasio-Cortez,0.0535
2026-07-25,Alexandria Ocasio-Cortez,0.0271
2026-07-26,Alexandria Ocasio-Cortez,0.0202
2026-07-27,Alexandria Ocasio-Cortez,0.0181
2026-07-28,Alexandria Ocasio-Cortez,0.0264
2026-07-29,Alexandria Ocasio-Cortez,0.0173
2026-07-30,Alexandria Ocasio-Cortez,0.0321
2026-07-31,Alexandria Ocasio-Cortez,0.038
2026-08-01,Alexandria Ocasio-Cortez,0.029
