pulled_at,series,ticker,title,candidate,yes_bid,yes_ask,last_price,volume
2026-09-03T15:00:19.834532+00:00,KXPRESNOMD,KXPRESNOMD-28-JOSS,Will Jon Ossoff be the Democratic Presidential nominee in 2028?,Jon Ossoff,0.0,0.0,,
2026-09-03T15:00:19.834532+00:00,KXPRESNOMD,KXPRESNOMD-28-MK,Will Mark Kelly be the Democratic Presidential nominee in 2028?,Mark Kelly,0.0,0.0,,
2026-09-03T15:00:19.834532+00:00,KXPRESNOMD,KXPRESNOMD-28-PB,Will Pete Buttigieg be the Democratic Presidential nominee in 2028?,Pete Buttigieg,0.0,0.0,,
2026-09-03T15:00:19.834532+00:00,KXPRESNOMD,KXPRESNOMD-28-KH,Will Kamala Harris be the Democratic Presidential nominee in 2028?,Kamala Harris,0.0,0.0,,
2026-09-03T15:00:19.834532+00:00,KXPRESNOMD,KXPRESNOMD-28-JS,Will Josh Shapiro be the Democratic Presidential nominee in 2028?,Josh Shapiro,0.0,0.0,,
2026-09-03T15:00:19.834532+00:00,KXPRESNOMD,KXPRESNOMD-28-GW,Will Gretchen Whitmer be the Democratic Presidential nominee in 2028?,Gretchen Whitmer,0.0,0.0,,
2026-09-03T15:00:19.834532+00:00,KXPRESNOMD,KXPRESNOMD-28-GN,Will Gavin Newsom be the Democratic Presidential nominee in 2028?,Gavin Newsom,0.0,0.0,,
2026-09-03T15:00:19.834532+00:00,KXPRESNOMD,KXPRESNOMD-28-AOC,Will Alexandria Ocasio-Cortez be the Democratic Presidential nominee in 2028?,Alexandria Ocasio-Cortez,0.0,0.0,,
2026-09-03T15:00:19.834532+00:00,KXPRESNOMD,KXPRESNOMD-28-AB,Will Andy Beshear be the Democratic Presidential nominee in 2028?,Andy Beshear,0.0,0.0,,
2026-09-03T15:00:19.834532+00:00,KXPRESNOMR,KXPRESNOMR-28-MR,Will Marco Rubio be the nominee for the Presidency for the Republican party?,Marco Rubio,0.0,0.0,,
2026-09-03T15:00:19.834532+00:00,KXPRESNOMR,KXPRESNOMR-28-JDV,Will J.D. Vance be the nominee for the Presidency for the Republican party?,JD Vance,0.0,0.0,,
