poll_date,pollster,candidate_lastname,pct
"June 27, 2026",270toWin[1],Harris,29.6
"June 27, 2026",270toWin[1],Newsom,16.8
"June 27, 2026",270toWin[1],Buttigieg,13.0
"June 27, 2026",270toWin[1],Ocasio-Cortez,9.3
"June 27, 2026",270toWin[1],Shapiro,8.0
"June 27, 2026",270toWin[1],Kelly,4.0
"June 27, 2026",270toWin[1],Beshear,3.6
"July 8, 2026",Real Clear Polling[2],Harris,28.9
"July 8, 2026",Real Clear Polling[2],Newsom,16.8
"July 8, 2026",Real Clear Polling[2],Buttigieg,12.6
"July 8, 2026",Real Clear Polling[2],Ocasio-Cortez,11.1
"July 8, 2026",Real Clear Polling[2],Shapiro,6.4
"July 8, 2026",Real Clear Polling[2],Kelly,5.6
"July 8, 2026",Real Clear Polling[2],Beshear,3.8
"July 13, 2026",Race to the WH[3],Harris,29.5
"July 13, 2026",Race to the WH[3],Newsom,16.7
"July 13, 2026",Race to the WH[3],Buttigieg,12.5
"July 13, 2026",Race to the WH[3],Ocasio-Cortez,10.1
"July 13, 2026",Race to the WH[3],Shapiro,6.1
"July 13, 2026",Race to the WH[3],Kelly,4.9
"July 13, 2026",Race to the WH[3],Beshear,3.3
"July 8, 2026",VoteHub[4],Harris,28.2
"July 8, 2026",VoteHub[4],Newsom,16.5
"July 8, 2026",VoteHub[4],Buttigieg,12.2
"July 8, 2026",VoteHub[4],Ocasio-Cortez,9.7
"July 8, 2026",VoteHub[4],Shapiro,6.5
"July 8, 2026",VoteHub[4],Beshear,3.3
Aggregate,Aggregate,Harris,29.1
Aggregate,Aggregate,Newsom,16.7
Aggregate,Aggregate,Buttigieg,12.6
Aggregate,Aggregate,Ocasio-Cortez,10.1
Aggregate,Aggregate,Shapiro,6.75
Aggregate,Aggregate,Kelly,4.8
Aggregate,Aggregate,Beshear,3.5
"August 7–11, 2026",Focaldata,Buttigieg,13.0
"August 7–11, 2026",Focaldata,Harris,26.0
"August 7–11, 2026",Focaldata,Newsom,15.0
"August 7–11, 2026",Focaldata,Ocasio-Cortez,9.0
"August 7–11, 2026",Focaldata,Shapiro,8.0
"August 7–11, 2026",Focaldata,Beshear,1.0
"August 7–11, 2026",Focaldata,Kelly,6.0
"August 2–4, 2026",Rasmussen Reports,Buttigieg,10.0
"August 2–4, 2026",Rasmussen Reports,Harris,37.0
"August 2–4, 2026",Rasmussen Reports,Newsom,14.0
"August 2–4, 2026",Rasmussen Reports,Ocasio-Cortez,9.0
"August 2–4, 2026",Rasmussen Reports,Shapiro,6.0
"August 2–4, 2026",Rasmussen Reports,Kelly,9.0
"July 24–27, 2026",Big Data Poll,Buttigieg,7.4
"July 24–27, 2026",Big Data Poll,Harris,29.7
"July 24–27, 2026",Big Data Poll,Newsom,14.3
"July 24–27, 2026",Big Data Poll,Ocasio-Cortez,8.6
"July 24–27, 2026",Big Data Poll,Shapiro,6.5
"July 24–27, 2026",Big Data Poll,Beshear,4.0
"July 24–27, 2026",Big Data Poll,Kelly,5.0
"July 15–21, 2026",McLauglin & Associates,Buttigieg,8.0
"July 15–21, 2026",McLauglin & Associates,Harris,28.0
"July 15–21, 2026",McLauglin & Associates,Newsom,18.0
"July 15–21, 2026",McLauglin & Associates,Ocasio-Cortez,10.0
